fold,epoch,train_loss,val_loss,val_accuracy
1,1,1.7480536590922962,1.11143163839976,0.8285714285714286
1,2,0.6619154919277538,0.4984612266222636,0.8342857142857143
1,3,0.35932876847007056,0.33584631979465485,0.88
1,4,0.11528100818395615,0.26711756239334744,0.9485714285714286
1,5,0.041946700012142006,0.1825650023917357,0.9485714285714286
1,6,0.011349121828309515,0.20653325815995535,0.9542857142857143
1,7,0.005274771606888284,0.19146779210617146,0.96
1,8,0.0031555385371162133,0.1816278399589161,0.9657142857142857
1,9,0.002541814369826832,0.18130629564014575,0.9657142857142857
1,10,0.00247992854565382,0.1811306228240331,0.9714285714285714
1,11,0.0024354239417748017,0.18112987388546267,0.9714285714285714
1,12,0.002385095079344782,0.18119690846651793,0.9714285714285714
2,1,1.8235208888848622,1.2303422689437866,0.6573033707865169
2,2,1.1724612712860107,1.3517626921335857,0.4606741573033708
2,3,0.908501481016477,0.7999094327290853,0.7191011235955056
2,4,0.5579309562842051,0.5114922722180685,0.8314606741573034
2,5,0.3649522351721923,0.4356272617975871,0.8089887640449438
2,6,0.19338589759233096,0.29494430621465045,0.8876404494382022
2,7,0.1704559028148651,0.269895742336909,0.8932584269662921
2,8,0.1585551630705595,0.2746147910753886,0.898876404494382
2,9,0.12883314210921526,0.26786476373672485,0.8876404494382022
2,10,0.09760485603086029,0.2605054924885432,0.8876404494382022
2,11,0.11004378584523995,0.2586492175857226,0.8876404494382022
2,12,0.09099787729792297,0.25838927427927655,0.8876404494382022
2,13,0.0914900333348972,0.2579697792728742,0.8876404494382022
2,14,0.10110662380854289,0.25611352423826855,0.8876404494382022
2,15,0.09278793415675561,0.25421129415432614,0.8932584269662921
3,1,1.812088926633199,1.2825886011123657,0.6918918918918919
3,2,0.7865011816223463,0.5586564441521963,0.7945945945945946
3,3,0.3984723786513011,0.4860115845998128,0.8324324324324325
3,4,0.19080744497478008,0.26688173909982044,0.9027027027027027
3,5,0.19076259263480702,0.3671603699525197,0.8810810810810811
3,6,0.170351997949183,0.28129125386476517,0.9027027027027027
3,7,0.05029844803114732,0.10436890770991643,0.972972972972973
3,8,0.02535049811316033,0.08506185996035735,0.972972972972973
3,9,0.011664840771118179,0.08020718023180962,0.972972972972973
3,10,0.007654177917477985,0.07660562576105197,0.972972972972973
